Job Title,Salary Estimate,Company Name,Location,Job Description,Rating,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_est,glassdoor_est,Min Salary,Max Salary,age,company_txt
Data Scientist,$106K - $155K (Glassdoor est.),Spin Master Ltd3.7 ★,"Los Angeles, CA","Are you a kid at heart looking to build a career with a leading global children's toy, entertainment and digital gaming company?
At Spin Master, our unwavering commitment to open mindedness, integrity and innovation is a great part of what has made us an industry leader. How do we stay ahead of the pack? By hiring the best and brightest minds—and that’s why we want you!
Job Description:
What will you work on?

As a member of the Spin Master’s Data Science group, you will provide quantitative analysis to key stakeholders to drive growth in the business. You will bring actionable insights to optimize our business today and plan strategically for the future. You will generate tactical and strategic recommendations to improve marketing effectiveness.

How will you create impact?
Develop core business metrics and create automated dashboards to track business performance
Develop statistical and machine learning algorithms to predict sales and inventory level
Create a set of heuristics backed by data that predicts product success and guides pricing decisions
Develop a data-driven framework for monitoring brand health
Perform analysis on market conditions and overall trends using third party data sources
Optimize forecasting model to be used in Integrated Marketing Reviews and Planning
Measure marketing effectiveness and conduct marketing mix measurement, campaign analysis, program optimization, customer segmentation and ROI analysis
Provide data analysis for ad hoc requests from business partners
Remote First setup with 15-20% of time in office to start, but subject to change

What are your skills and experience?
4+ years’ experience working with data and utilizing quantitative techniques
Knowledge and experience in statistical and machine learning techniques: multivariate regression, classification models, text mining, network analysis, etc.
Proficient in using data science programming languages (R, Python, SQL, etc.) to query databases, and manipulate and analyze data
Experience in visualizing/presenting data for stakeholders using Excel, Power BI, Tableau, Looker Studio, Looker, R, Python, etc.
Working knowledge of Unix command-line/shell, git and review board is a plus
Experience applying statistical and machine learning techniques in solving actual business problems using data science programming languages
Ability to tell stories with data effectively to non-technical audiences
Experience working with and creating data architecture
Knowledge about best practices around data manipulation, building data pipelines, feature engineering and creating dashboards
Experience in utilizing cloud platform tools (Google Cloud Platform, AWS, MS Azure) is a plus
Experience in project planning/management is a plus
Experience with distributed data/computing tools (Hadoop, Spark, etc.) is a plus

The anticipated pay range for candidates who will work in California is $100 000 to $110 000 Per Annum. The offered pay to a successful candidate will be dependent on several factors that may include but are not limited to years of experience within the job, years of experience within the required industry, education, etc. Spin Master Inc. is a multi-state employer, and this salary range may not reflect positions that work only in other states.

#LI-Remote #LI-HM1
What you can expect from us:
Our mission is to Make Life More Fun with a vision to push the boundaries of innovation, creativity, and fun.
Growth and Career Opportunities
Flexible Work Hours
Innovation, Collaboration and Fun
Comprehensive Benefits
Other fun Perks!
What’s it like to work here?
Spin Master is a fast-paced, hands-on organization that provides many great opportunities for impactful decision-making; though our challenging start-up atmosphere isn’t for everyone, we have a proven record of opportunities for future advancement and internal transfers for our passionate and results driven team.
Everyone is welcome in our sandbox and we are committed to an accessible and inclusive hiring process that provides reasonable accommodation to all applicants.
Spin Master strives to create an accessible and inclusive application and selection process and is committed to working with and providing reasonable accommodation to job applicants who may require provisions to participate in the recruitment, selection and/or assessment processes. Should you require an accommodation, please contact our Talent Acquisition team, by email at TAinquiries@spinmaster.com or by phone at 416 364-6002 and we will work with you to meet your accessibility needs.
Follow us on Instagram and Twitter @SpinMaster to stay up to date on Spin Master career opportunities.
We do appreciate all interest; however only those selected for interview will be contacted.
Show Less
Report",3.7,1001 to 5000 Employees,1994,Company - Public,Consumer Product Manufacturing,Manufacturing,$1 to $5 billion (USD),0,0,1,106.0,155.0,29,Spin Master Ltd
Associate Data Scientist (Dec 2022 - May 2023 Graduates),$88K - $150K (Employer est.),T. Rowe Price3.8 ★,"New York, NY","There is a place for you at T. Rowe Price to grow, contribute, learn, and make a difference. We are a premier asset manager focused on delivering global investment management excellence and retirement services that investors can rely on today and in the future. The work we do matters. We invite you to explore the opportunity to join us and grow your career with us.
Associate Data Scientist
For 80 years, T. Rowe Price has changed the investment management industry by delivering world-class service and guidance to individuals and institutions around the globe. Our shared values enable us to create a dynamic workplace that cultivates high achievement from diverse professionals in a variety of disciplines. Built on a tradition of integrity, we are committed to our clients and employees and focused on sustained growth and success.
We’re seeking dedicated associate data scientists to support and contribute to the Data Science project life cycle for the firm. You will recommend and develop technical solutions based on partnerships with business stakeholders with guidance from senior data scientists. This is a chance to create an impact on our business as a part of a broader technology transformation!
Program Structure:
The Global Technology cohort program blends on the-job experience with capstone projects, hackathons, and learning/social events. The program is non-rotational with direct placement into a functional area based on your skillset and business unit needs. The program will focus on the pillars of education, exposure, experience, and engagement. These programmatic elements include customized learning curriculum, exposure to senior leadership, community service projects, assigned mentors, and social activities.
Role Summary & Job Responsibilities:
As an Associate Data Scientist you will:
Partner with senior data scientists to implement data science solutions for business use cases
Prepare, clean and merge datasets, and apply feature engineering and selection techniques
Create data visualizations, and written or verbal reports to present findings to non-technical audiences and business stakeholders
Apply statistical methods and machine learning models to create actionable findings
Work with existing common components and services, such as machine learning models, data pipelines and cloud technologies
Build industry knowledge to understand the work of the team and the role Data Science plays
Required Qualifications
Full time student with an expected graduation date of December 2022 – May/June 2023
Minimum GPA: 3.00 overall
Major: Quantitative field such as Data Science, Computer Science, Statistics, Mathematics, Physics, or Engineering
Previous internships in data science strongly preferred
Actively seeks feedback and mentorship in order to improve technical skills (e.g., through submitting work for code or model review)
Demonstrate competence in at least one programming language – Python highly preferred
A commitment to continuous learning and development
-
Work Flexibility
This role is eligible for remote work up to three days a week.
FINRA Requirements
FINRA licenses are not required and will not be supported for this role.
Opportunities are available in New York, NY.
Base salary range for the location(s) of:
New York, NY $88,000 - $150,000 USD Annual*
Placement within the range provided above is based on the individual’s relevant experience and skills for the role. Base salary is only one component of our total compensation package. Employees may be eligible for a discretionary bonus, which is determined upon company and individual performance. Salary range disclosure as required by sb19-085 when hiring in Colorado, S9427A when hiring in New York, SB 1162 when hiring in California, and SB 5761 when hiring in the State of Washington.
T. Rowe Price is committed to providing our associates with a comprehensive total rewards benefit program, including wellness, retirement and quality-of-life benefits. Please view
What We Offer
to see what's available to you.
Base salary range for the primary location of:
New York, NY
Placement within the range provided above is based on the individual’s relevant experience and skills for the role. Base salary is only one component of our total compensation package. Employees may be eligible for a discretionary bonus, which is determined upon company and individual performance. Salary range disclosure as required by sb1162 when hiring in California, sb19-085 when hiring in Colorado, S9427A when hiring in New York, and SB5761 when hiring in the State of Washington.
Commitment to Diversity, Equity, and Inclusion:
We strive for equity, equality, and opportunity for all associates. When we embrace the power of diversity and create an environment where people can bring their authentic and best selves to work, our firm is stronger, and we create greater value for our clients. Our commitment and inclusive programming aim to lift the experience for each associate and builds allies for our global associate community. We know that a sense of belonging is key not only to your success at the firm, but also to your ability to bring your best each day.
Benefits: We invest in our people through a wide range of programs and benefits, including:
Competitive pay and bonuses as well as a generous retirement plan and employee stock purchase plan with matching contributions
Flexible and remote work opportunities
Health care benefits (medical, dental, vision)
Tuition assistance
Wellness programs (fitness reimbursement, Employee Assistance Program)
Our policies may change as our working lives evolve. Yet, our commitment to supporting our associates’ well-being and addressing the needs of our clients, business, and communities is unwavering.
T. Rowe Price is an equal opportunity employer and values diversity of thought, gender, and race. We believe our continued success depends upon the equal treatment of all associates and applicants for employment without discrimination on the basis of race, religion, creed, color, national origin, sex, gender, age, mental or physical disability, marital status, sexual orientation, gender identity or expression, citizenship status, military or veteran status, pregnancy, or any other classification protected by country, federal, state, or local law.
Start your job application: click Apply Now
Show Less
Report",3.8,5001 to 10000 Employees,1937,Company - Public,Investment & Asset Management,Financial Services,$1 to $5 billion (USD),0,1,0,88.0,150.0,86,T. Rowe Price
Hockey Operations Data Scientist,$65K - $93K (Glassdoor est.),Pittsburgh Penguins4.6 ★,"Pittsburgh, PA","Description:
The Data Scientist for the Pittsburgh Penguins will generate reports to help our coaches, management, and scouting departments make critical decisions. As a member of the Hockey Research & Development team, you will have a unique opportunity to collaborate with members throughout the hockey operations department and have a meaningful impact on the direction of the Pittsburgh Penguins. Subject to the minimum qualifications listed below, we welcome applicants of all levels of experience.
Duties & Responsibilities:
The Data Scientist’s responsibilities may include any of the following:
Quantify, evaluate, and project the performance and abilities of hockey players and teams
Build, validate, and automate models for hockey player and team performance using multiple data sources
Collaborate with a team of data scientists, data engineers, and hockey operations personnel
Prepare written and/or automated reports for presentation to hockey operations personnel
Creatively use existing data to advance our understanding of the sport of hockey, the performance of players and teams, etc
Skills Required:
The Data Scientist should have the following minimum qualifications:
Bachelor’s degree or higher in statistics, data science, machine learning, computer science, mathematics, or a related field
Strong knowledge of programming for data analysis, preferably using R
Demonstrated experience working with large, complex datasets
Experience building a variety of statistical models, and an understanding of those models
Experience writing shared code and using version control tools in team work environments
Enthusiasm to work for a professional sports team
Additional Preferences (Optional):
1+ years of experience as a data scientist (preferably with prior experience in sports analytics) and/or sufficient experience working professionally in sports analytics
Portfolio of projects available to be reviewed during the interview
Deep understanding of (and demonstrated experience building) a variety of statistical models (e.g. generalized linear models, generalized additive models, hierarchical models, mixture models, non-parametric models, tree-based models, Bayesian models and MCMC, bagging, boosting, supervised learning, unsupervised learning, neural networks, time series models, etc)
Experience analyzing and building models with spatio-temporal data
Strong knowledge of hockey and/or sports analytics
Basic proficiency with SQL or basic understanding of modern database architectures and data structures
Experience building dashboards, web applications, and/or interactive data visualizations with any tool (e.g. HTML, CSS, JavaScript, Shiny, Tableau, etc)
General understanding of Hockey is preferred but not required.


We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, sexual orientation, age, disability, gender identity, marital or veteran status, or any other protected class.
Show Less
Report",4.6,51 to 200 Employees,1999,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$1 to $5 million (USD),0,0,1,65.0,93.0,24,Pittsburgh Penguins
Sr. Data Scientist,$78K - $113K (Glassdoor est.),omega solutions inc3.1 ★,"Santa Ana, CA","Sr. Data Scientist
Santa Ana, CA
6 months

Job Description :
What is the specific title of the position? Senior Data Scientist
What Project/Projects will the candidate be working on while on assignment? 1) Field Team Modernization/Intelligent Decision Management - build and support of new predictive data models 2) Coding Transformation - build and support of new/existing predictive data models 3) Ad hoc data analysis
Is this person a sole contributor or part of a team? If so, please describe the team? (Name of team, size of team, etc.)
Individual contributor within Decision Intelligence team.

What are the top 5-10 responsibilities for this position? (Please be detailed as to what the candidate is expected to do or complete on a daily basis) Analytic data model development Quality check of output from other developers Data exploration/research Documentation of logic and results Presentation of logic and results to team and stakeholders

What software tools/skills are needed to perform these daily responsibilities? See below

What skills/attributes are a must have? Programming: SQL, Python, Spark, Hive Libraries: Scikit-Learn, Numpy Analytics: Regression, Classification, Clustering, (Decision Trees, SVM, Linear Regression, Logistic Regression, KNN, KMeans) Visualization: Matplot Systems: UNIX, Windows Soft: Integrity, strong verbal and written communication, teamwork, creativity Experience: 3-4 years related field

What skills/attributes are nice to have? Analytics: Neural Networks, Graph Computation, Approximate Nearest Neighbors, Time Series, NLP Visualization: Tableau, Plotly, Excel Infrastructure: Big Data, Cloud Computing, High Performance Computing (GPUs) Experience: 5+ years related field
Show Less
Report",3.1,1 to 50 Employees,-1,Self-employed,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,0,1,78.0,113.0,-1,omega solutions inc
Data Scientist Position,$97K - $139K (Glassdoor est.),Princeton University4.5 ★,"Princeton, NJ","Data Scientist position available through the Princeton Precision Health Initiative at Princeton University. The new Princeton Precision Health (PPH) initiative is seeking to hire a staff scientist in the area of data science and computational biology. This position is at the rank of Professional Specialist and will initially be a three-year term position, with the possibility of renewal based on job performance and funding availability. The PPH initiative is taking an interdisciplinary, data-driven approach to healthcare, leveraging the synergy of science and policy to enable targeted solutions to biomedical, clinical, and societal challenges and support precision health. Professional data scientists with expertise in both computer science and in genomics and/or biomedical research will be key contributors to the success of PPH. The position will report to Professor Olga Troyanskaya, the Director of PPH, though the data scientist will have the opportunity to work with multiple groups participating in PPH research, providing data analysis expertise across this interdisciplinary research space at Princeton. The data scientist should have a strong track record in data science and its application in the life sciences, the biomedical domain, or other health-related field so that they can successfully develop and apply computational methods for a variety of applications. In addition, candidates should have experience with creating robust software code that can be shared across groups and with the biomedical research community at large. The data scientist will need to serve as a hub for collaborative projects across disciplines; thus, extensive research experience is required. Applications must be submitted online at https://www.princeton.edu/acad-positions/position/28182. Applications must include a curriculum vitae and contact information for three references. Essential Qualifications: - A PhD in Computer Science, Computational Biology, or a related field. - At least ten years prior research experience in data science or computational biology. Preferred Qualifications: At least five years prior research experience in genomics and/or sequencing data analyses. This position is subject to the University's background check policy.
Show Less
Report",4.5,5001 to 10000 Employees,1746,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,0,0,1,97.0,139.0,277,Princeton University
Data Scientist,$88K - $128K (Glassdoor est.),Software Bloc,"Plano, TX","Software Bloc LLC, Plano, TX
Technologies –Proficient in Python and R with experience in SQL, GitHub (not a deal breaker), and AWS/Azure and cloud storage related experience.
Full Time

JOB DESCRIPTION

Your role will work to inform the business on strategic recommendations on data collection, integration, and retention requirements incorporating business needs and knowledge of best practices
Work on improvements to methods and algorithms, developing innovative and effective approaches to solve businesses’ analytical problems and communicate these results and methodologies to our teams
Support recommendations of ongoing improvements that lead to findings, including new information, in collaboration with our Lead Data Scientist
QUALIFICATIONS

Bachelor’s Degree in Mathematics, Statistics, Computer Science or related field
3+ years in a related field is preferred
Skills to communicate well in a global environment
Show Less
Report",-1.0,1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,0,0,1,88.0,128.0,-1,Software Bloc
Data Scientist,$92K - $138K (Glassdoor est.),Schneider Electric4.2 ★,"Louisville, KY","Job Description:
Schneider Electric is looking for a passionate, talented, and inventive Data Scientist with a passion for learning and discovery. This person will help build industry-leading machine learning tools in the energy and sustainability management industry. As a member of the Sustainability Business team, you will collaborate with internal technology and business teams to build tools to support new services, expand and improve existing services and enable our teams to be more productive. You will be working with terabytes of structured and unstructured data to solve real-world problems. You will design and run experiments, research new algorithms, and find new ways of optimizing risk, profitability, and customer experience.

Responsibilities:
Design and develop optimization techniques and tools to identify trends in complex, large, structured, and unstructured data sets.
Design and develop simulation tools for training and testing ML, deep learning and AI models.
Collaborate with other business team resources to identify, develop, test, and create new solutions/products.
Apply knowledge of technology with knowledge of contemporary business models to synthesize potential opportunities.
Work with cutting-edge technologies in ML subfields such as Natural Language Processing (NLP) and Reinforcement Learning (RL).

Qualifications:
Qualifications:
Degree in computer science, mathematics, physics, engineering, ML/AI, or equivalent.
A strong understanding of AI and ML development, experience with MLOps.
A “can-do” attitude and the ability to work both independently and within a small group.
Experience with cloud computing in the context of ML and AI.
Programming expertise in languages such as Python, SQL, R, etc.
Experience with Natural Language Processing, Deep Learning, Transfer Learning, etc.
Analytical self-starter with strong attention to detail and desire to learn new things.
Strong organizational and problem-solving skills with the ability to work on multiple complex projects in diverse areas, versatile and capable within multiple disciplines.
Understanding of microservices and orchestration-based software, i.e. Docker and Kubernetes.

Bonus Skills:
Experience with optimization, time-series forecasting, and reinforcement learning are all a plus!
Recent experience with Large Language Models (LLMs) or other Generative AI is a plus!

Location:
We prefer this role to be based in Louisville KY but will consider the right candidate in other US based locations.

About Our Company:
Why us?
Schneider Electric is leading the digital transformation of energy management and automation. Our technologies enable the world to use energy in a safe, efficient and sustainable manner. We strive to promote a global economy that is both ecologically viable and highly productive.

€34bn global revenue
128 000+ employees in 100+ countries
45% of revenue from IoT
5% of revenue devoted for R&D

You must submit an online application to be considered for any position with us. This position will be posted until filled

It is the policy of Schneider Electric to provide equal employment and advancement opportunities in the areas of recruiting, hiring, training, transferring, and promoting all qualified individuals regardless of race, religion, color, gender, disability, national origin, ancestry, age, military status, sexual orientation, marital status, or any other legally protected characteristic or conduct. Concerning agencies: Schneider Electric does not accept unsolicited resumes and will not be responsible for fees related to such.
Start your job application: click Apply Now
Show Less
Report",4.2,10000+ Employees,1836,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$10+ billion (USD),0,0,1,92.0,138.0,187,Schneider Electric
Data Scientist - All Levels,$68K - $109K (Glassdoor est.),Interclypse Inc4.7 ★,"Reston, VA","Description:
Interclypse is seeking Data Scientists.
The Interclypse difference is our emphasis on employee growth and development through continuous learning, mentorship, and empowerment. Interclypse employees grow in a positive cultivating work environment with endless career opportunities. Let Interclypse empower you by putting you in the driver's seat of your career.
Currently, Interclypse is seeking motivated, career and customer-oriented Data Scientists to join our team to provide exemplary support to our customers and to begin an exciting and rewarding career within Interclypse. As a Data Scientist, you will enjoy leading edge work developing innovative solutions to address data analytics challenges, to collect large volumes of data from varying sources, perform data cleansing, transformation, interpretation, inferencing, create solutions to overcome mission challenges, and communicate with interested stakeholders.
Requirements:
Education
Degree must be in Mathematics, Applied Mathematics, Statistics, Applied Statistics, Machine Learning, Data Science, Operations Research, or Computer Science is required.
Primary Responsibilities
Engage in developing innovative solutions to address data analytics challenges, to collect large volumes of data from varying sources, perform data cleansing, transformation, interpretation, inferencing, create solutions to overcome mission challenges, and communicate with interested stakeholders.
To succeed in this position; you need to be curious, creative, and tech-savvy.
You need to stay up to date with data processing software and algorithms, have an in-depth understanding of statistics and mathematics and be proficient in writing data processing algorithms.
You must be persistent and have excellent analytical and problem-solving skills.
Devise strategies for extracting semantic value from large datasets.
Develop conclusions from data using mathematics, statistics, computer science, and application specific knowledge and concisely communicate these conclusions.
Provide informed recommendations regarding competing technical solutions through awareness of the constantly shifting collections, processing, storage and analytic capabilities and limitations.
Required Skills/Experience
Experience with SQL databases and data models (e.g., PostgreSQL , Amazon Aurora)
Experience with programming in R, Python, Java
Experience with NoSQL databases ( e.g., MongoDB, Accumulo)
Experience designing data models and approaches
Experience working in a cloud environment ( e.g., AWS, Azure)
Experience with Linux
Excellent interpersonal skills and ability to get along with data scientists, engineers, and customers at all levels
Ability to work in a dynamic team-oriented environment, demonstrate teamwork and initiative, and function productively in a dynamic work environment
Desired Skills/Experience
Experience with programming in TensorFlow, PyTorch
Experience with Hadoop, MapReduce
Experience with Tableau
Experience with Cognos
Experience with designing, implementing, and using REST APIs
Experience with RDF/OWL, SPARQL, and Semantic Web technologies
Experience with Statistical and ML analytics and modeling (e.g., R, Spark, etc.) or other deep learning frameworks a plus
Experience with Data catalogs and data management
Ability to help visualize the data for analysis and to display results
Why You Might Like This Job:
You’re tired of working for a massive organization.
You want to work for an established company that values your stable career.
You want to work with a team who loves their job and making cool stuff.
You want to be part of a team focused on making a positive impact.
You want to grow your skills in management or work toward becoming an expert.
You want to have the option for career mentorship, both in technology and in business.
You value a company with a strong culture of growth and support.
Benefits:
248 hours / 31 days of Paid Personal Time Off (PTO) for vacation, holidays, and illnesses.
Unlimited 401K match up to 8% of your salary up to the federal maximum
Medical/Dental/Vision Insurance: Premium is 100% company paid (contact us for specific plan details)
Health Savings Account (HSA): Interclypse contributes $1,500 for individuals and $3,000 for families
Vision Insurance
Dental Insurance with orthodontics coverage
Life Insurance
Accidental Death Insurance
Disability: Short-term and long-term disability coverage
Educational support: reimbursement up to the federal max of $5,250
Maternity/Paternity Leave: 40 hours
Bereavement Leave: 24 hours
Military Reserve Leave
Jury Duty Leave
Company apparel: $200 for company apparel each year
Social events: Holiday Party, Spring Picnic, Fall Picnic, happy hours and more
Interclypse isn’t your typical company. We strive to have a positive & transformational impact on our community, our industry, and individuals. We keep this focus through our motto: ""Doing What is Right"". Apply today to see how you can join our winning team and start down the career path that’s right for you!
EOE AA M/F/Vet/Disability:
Interclypse is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status.
Show Less
Report",4.7,51 to 200 Employees,2007,Company - Private,Software Development,Information Technology,$5 to $25 million (USD),0,0,1,68.0,109.0,16,Interclypse Inc
Associate Data Scientist,$66K - $108K (Employer est.),Northwell Health3.9 ★,"Manhasset, NY","Job Description
Assists the leadership to advance data science strategy and programs; works collaboratively with both Information Technology members and the clinical community to evaluate and implement data science projects, systems and initiatives at both the department and the enterprise level.
Job Responsibility
Assists to design, implement, and maintain data science models and applications.
Assists on programs to apply data science methodologies, including predictive modeling and machine learning, data analytics and visualization, and usability and design, to departmental, service line, and enterprise applications and functions.
Synthesizes complex data-related problems into actionable business and/or clinical strategy, and communicate findings to appropriate end-users and stakeholders.
Assists with the development of specifications to support the design of new or modified data science projects, with a focus on data-driven optimization, enhancement, and development.
Assists in the evaluation of projects, systems, and initiatives at the department, service line, and enterprise level; ensures projects and their outputs enhance clinical quality, patient safety, and institutional efficiency, focusing on all aspects of data science, including data gathering and wrangling, exploratory data analysis, data modeling and machine learning, and model implementation and evaluation; ensures high quality execution of all proposed projects.
Knowledgeable in present and planned data science projects and maintains voice of the customer in all project initiatives.
Assists to serve as the link between the clinical staff (customer) requirements and IS capabilities.
Assists in ensuring that systems are implemented to support organization initiatives and goals to improve the quality of patient care, to maximize patient safety, and to provide operational efficiencies.
Assists to serves as a resource to the leadership; demonstrates familiarity with current hospital information systems.
Operates with direct guidance and work assignments are generally straightforward and of moderate complexity.
Performs related duties as required. All responsibilities noted here are considered essential functions of the job under the Americans with Disabilities Act. Duties not mentioned here, but considered related are not essential functions.
Job Qualification
Bachelor's Degree required, or equivalent combination of education and related experience.
0-1 years of relevant experience, required.


Additional Salary Detail
The salary range and/or hourly rate listed is a good faith determination of potential base compensation that may be offered to a successful applicant for this position at the time of this job advertisement and may be modified in the future.When determining a team member's base salary and/or rate, several factors may be considered as applicable (e.g., location, specialty, service line, years of relevant experience, education, credentials, negotiated contracts, budget and internal equity).
Apply Now: click Apply Now
Show Less
Report",3.9,10000+ Employees,1997,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),0,1,0,66.0,108.0,26,Northwell Health
USARPAC Data Scientist (Data Scientist 1)- 15568,$73K - $125K (Glassdoor est.),HII3.6 ★,"Fort Shafter, HI","Date: Jul 19, 2023
Location: Fort Shafter, HI, Hawaii, United States
Company: HII's Mission Technologies division
Requisition Number: 15568
Required Travel: 0 - 10%
Employment Type: Full Time/Salaried/Exempt
Hours Per Week: 40
Security Clearance: Ability to Obtain
Level of Experience: Entry Level
HII
Summary
HII-Mission Technologies is currently seeking a Data Scientist to support our US Army Pacific (USARPAC) customer in Honolulu, HI! Come join our growing team today!

As an entry level Data Scientist, you are responsible for building the next generation of data driven products and systems focusing on capability delivery to end users. You will be a member of a “Big Data” Team of specialists within the multi-disciplinary agile development team. As a Data Scientist, you will help manage requirements collection, software code, development and delivery – full lifecycle – in support of analysts. You will engage in software solution planning and creation to ensure capabilities are delivered using the latest available technologies and methods. The Data Scientist will operate in a “RAD/JAD” environment in which tasks are rapidly defined and then executed to insure maximum user input, feedback and adoption. The Data Scientist Team ensures the interoperability of the in-house capability with outside partners.
What you will do
Helps design, modify, develop, write and implement software systems
Participates in software and systems testing, validation, and maintenance processes through test witnessing, certification of software, and other activities as directed
Provides support to senior staff on projects/programs; familiarity with standard concepts, practices, and procedures within a variety of fields related to the project
Conducts research and collaborates with equipment designers and/or hardware engineers in the planning, design, development, and utilization of electronic data processing systems for product and commercial software
Ensures software standards are met
Collects, analyzes and interprets numerical data from various sources such as surveys, experiments, and studies
Compiles reports, charts, and tables based on established statistical methods
Plans methods to collect information and develop questionnaire techniques according to survey design
Conducts surveys, evaluates reliability of source information, adjusts and weighs raw data, analyzes and interprets statistics and organizes results
Prepares conclusions and predictions based on data summaries
Additional duties as assigned
What we are looking for
0 years of experience with Bachelors in related field; or High School Diploma or equivalent and 4 years relevant experience
Computer literacy, word processing and presentation development
Basic knowledge of the following:
Python
R
Operating systems including: Linux and Windows
Widows Office Suite, i.e. Word, Excel, PowerPoint, Outlook, Teams, OneDrive
Machine learning, data mining, and knowledge discovery
Analytic algorithm design and implementation
ETL processes; including document parsing techniques
Data visualization
Understanding networking, computer, and storage technologies
Proficiency in trouble-shooting in very complex distributed environments including following stack traces back to code and identifying a root cause
Clearance: Must be able to possess and maintain a TS/SCI
Bonus points for...
Previous support of USARPAC in a Data Science role
Be able to identify and utilize geospatial concepts
Working in cloud platforms, e.g. AWS, GCP, Azure, etc.
Developing large cloud software projects, preferably in Java, Python or C++ language
Using or designing RESTful APIs, SOAP, XML
Web services environment and technologies such as XML, KML, SOAP, and JSON
Familiarity with Julia, JavaScript, HTML, CSS, Java
Physical Requirements
May require working in an office, industrial, shipboard, or laboratory environment. Capable of climbing ladders and tolerating confined spaces and extreme temperature variances.
This opportunity resides with Command, Control, Communications, Computers, Cyber, Intelligence, Surveillance and Reconnaissance (C5ISR), a business group within HII’s Mission Technologies division. From towers to processors, we design, develop, integrate and manage the sensors, systems and other assets necessary to support integrated intelligence, surveillance and reconnaissance (ISR) operations, exploitation and analysis for the Intelligence Community, the military services, geographic and functional combatant commands and DoD agencies.

HII is a global engineering and defense technologies provider. With a 135-year history of trusted partnerships in advancing U.S. national security, HII delivers critical capabilities ranging from the most powerful and survivable naval ships ever built, to unmanned systems, ISR and AI/ML analytics. HII leads the industry in mission-driven solutions that support and enable a networked, all-domain force. Headquartered in Virginia, HII’s skilled workforce is 44,000 strong. For more information, please visit: hii.com.

HII is committed to cultivating an inclusive company culture to promote collaboration and enhance creativity by hiring a diverse work force. HII is an Equal Opportunity/Vets and Disabled Employer. U.S. Citizenship may be required for certain positions.
Show Less
Report",3.6,10000+ Employees,2011,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,0,0,1,73.0,125.0,12,HII
